ID;FECHA;TORNEO;MODALIDAD
1675011564;2023-01-29;DOMINGO - 29/01/23;MEDAL
680289813;2023-01-26;JUEVES - 26/01/23;MEDAL
1674665199;2023-01-25;MIERCOLES - 25/01/23;MEDAL
-2062913341;2022-12-31;AÑO NUEVO - 31/12/22;MEDAL
1555939825;2022-12-27;MARTES - 27/12/22;MEDAL
1781729957;2022-12-21;MIERCOLES - 21/12/22;MEDAL
-377137040;2022-12-17;ROENTGEN - 17/12/22;MEDAL
-658028629;2022-12-13;MARTES - 13/12/22;MEDAL
1424580636;2022-12-10;RAPI LAV QUIMICA;MEDAL
1670010759;2022-12-03;MULTICARS;MEDAL
637187752;2022-12-01;JUEVES - 01/12/22;MEDAL
